# CAN Dump
# Duration: 30 seconds
# Total messages: 79
# Unique IDs: 37
#
# Format: timestamp CAN_ID [len] data RxStatus
#
0.340588 0x0E0 [8] 13 01 C0 B2 9F FF 00 98 RxStat=0x00000000
1.111581 0x180 [8] 00 00 80 6E 06 80 16 00 RxStat=0x00000000
1.344626 0x050 [8] C3 00 00 00 00 C8 C8 80 RxStat=0x00000000
1.580254 0x070 [8] 19 E7 D0 FE FE 3F FF 02 RxStat=0x00000000
1.810053 0x090 [8] 00 00 3F 2C 00 00 1F FF RxStat=0x00000000
2.140813 0x238 [8] 00 00 00 00 00 7C 0A 00 RxStat=0x00000000
2.376414 0x060 [8] 05 FC 07 FF 00 00 0D 3D RxStat=0x00000000
3.262612 0x0A0 [8] 4C 00 04 03 04 03 74 03 RxStat=0x00000000
3.594326 0x130 [8] 02 00 50 03 04 00 00 00 RxStat=0x00000000
3.830504 0x1E0 [8] 20 00 01 00 00 00 00 00 RxStat=0x00000000
4.170285 0x170 [8] 00 00 00 00 00 00 30 00 RxStat=0x00000000
4.406410 0x050 [8] C3 00 00 00 00 C8 C8 80 RxStat=0x00000000
4.750359 0x220 [8] 04 00 00 02 10 00 00 00 RxStat=0x00000000
4.983629 0x030 [8] 32 00 00 00 00 1F FE 48 RxStat=0x00000000
5.213427 0x0E0 [8] 13 00 C0 35 93 FF 00 E4 RxStat=0x00000000
5.657058 0x050 [8] C3 00 00 00 00 C8 C8 80 RxStat=0x00000000
5.891140 0x130 [8] 02 00 50 03 04 00 00 00 RxStat=0x00000000
6.125467 0x040 [8] 80 00 00 00 7F FE 87 FE RxStat=0x00000000
6.359839 0x160 [8] 9D 77 64 00 00 00 00 00 RxStat=0x00000000
6.594168 0x0A0 [8] DD 00 04 65 04 65 E4 65 RxStat=0x00000000
6.953798 0x0C0 [8] D8 C3 FF AC 00 00 1E 33 RxStat=0x00000000
7.313054 0x070 [8] 3E C7 D0 FE FE 3F FF 02 RxStat=0x00000000
7.649658 0x1F0 [8] 20 00 00 00 59 00 00 40 RxStat=0x00000000
8.327206 0x140 [8] 00 6E 83 00 00 7F 80 00 RxStat=0x00000000
8.562768 0x230 [8] 60 00 7F DC 00 40 00 04 RxStat=0x00000000
8.796633 0x0C0 [8] 5B 53 FF AC 00 00 1E 33 RxStat=0x00000000
9.250988 0x150 [8] 00 00 18 00 00 78 00 7E RxStat=0x00000000
10.354223 0x160 [8] 95 9F 64 00 00 00 00 00 RxStat=0x00000000
10.796344 0x080 [8] ED 03 5B 1B FF B4 7B 5B RxStat=0x00000000
11.028136 0x154 [8] A7 C7 07 D0 07 C7 07 D0 RxStat=0x00000000
11.262846 0x0C0 [8] D8 C3 FF AC 00 00 1E 33 RxStat=0x00000000
11.827704 0x238 [8] 00 00 00 00 00 C9 0C 00 RxStat=0x00000000
12.061895 0x060 [8] 06 67 07 FF 00 00 06 C6 RxStat=0x00000000
12.294422 0x0B0 [8] 00 03 FF 03 5B A0 39 00 RxStat=0x00000000
12.961983 0x050 [8] C3 00 00 00 00 C8 C8 80 RxStat=0x00000000
13.841630 0x0A0 [8] 1A 00 03 5C 03 5C 23 5C RxStat=0x00000000
14.076915 0x050 [8] C3 00 00 00 00 C8 C8 80 RxStat=0x00000000
14.311292 0x368 [8] 60 00 FF 82 B0 80 00 B0 RxStat=0x00000000
14.545165 0x080 [8] CA 03 5B 1B FF 93 4B 5B RxStat=0x00000000
14.998956 0x100 [8] 00 07 FE 03 FE 03 FE 00 RxStat=0x00000000
